,Date,Home,Home_id,Away,Away_id
72,2021-04-02,Phoenix Suns,1610612756,Oklahoma City Thunder,1610612760
73,2021-04-02,Portland Trail Blazers,1610612757,Milwaukee Bucks,1610612749
74,2021-04-02,New Orleans Pelicans,1610612740,Atlanta Hawks,1610612737
75,2021-04-02,New York Knicks,1610612752,Dallas Mavericks,1610612742
76,2021-04-02,Memphis Grizzlies,1610612763,Minnesota Timberwolves,1610612750
77,2021-04-03,Detroit Pistons,1610612765,New York Knicks,1610612752
78,2021-04-03,Miami Heat,1610612748,Cleveland Cavaliers,1610612739
79,2021-04-03,Washington Wizards,1610612764,Dallas Mavericks,1610612742
80,2021-04-03,Sacramento Kings,1610612758,Milwaukee Bucks,1610612749
81,2021-04-03,Utah Jazz,1610612762,Orlando Magic,1610612753
82,2021-04-03,Philadelphia 76ers,1610612755,Minnesota Timberwolves,1610612750
83,2021-04-03,San Antonio Spurs,1610612759,Indiana Pacers,1610612754
84,2021-04-03,Portland Trail Blazers,1610612757,Oklahoma City Thunder,1610612760
85,2021-04-04,Denver Nuggets,1610612743,Orlando Magic,1610612753
86,2021-04-04,Atlanta Hawks,1610612737,Golden State Warriors,1610612744
87,2021-04-04,Philadelphia 76ers,1610612755,Memphis Grizzlies,1610612763
88,2021-04-04,Chicago Bulls,1610612741,Brooklyn Nets,1610612751
89,2021-04-04,Boston Celtics,1610612738,Charlotte Hornets,1610612766
90,2021-04-04,Houston Rockets,1610612745,New Orleans Pelicans,1610612740
91,2021-04-04,Los Angeles Clippers,1610612746,Los Angeles Lakers,1610612747
92,2021-04-05,Oklahoma City Thunder,1610612760,Detroit Pistons,1610612765
93,2021-04-05,Minnesota Timberwolves,1610612750,Sacramento Kings,1610612758
94,2021-04-05,Toronto Raptors,1610612761,Washington Wizards,1610612764
95,2021-04-05,San Antonio Spurs,1610612759,Cleveland Cavaliers,1610612739
96,2021-04-05,Dallas Mavericks,1610612742,Utah Jazz,1610612762
97,2021-04-05,Houston Rockets,1610612745,Phoenix Suns,1610612756
98,2021-04-05,Brooklyn Nets,1610612751,New York Knicks,1610612752
99,2021-04-06,Denver Nuggets,1610612743,Detroit Pistons,1610612765
100,2021-04-06,Los Angeles Clippers,1610612746,Portland Trail Blazers,1610612757
101,2021-04-06,Golden State Warriors,1610612744,Milwaukee Bucks,1610612749
102,2021-04-06,Boston Celtics,1610612738,Philadelphia 76ers,1610612755
103,2021-04-06,Toronto Raptors,1610612761,Los Angeles Lakers,1610612747
104,2021-04-06,Miami Heat,1610612748,Memphis Grizzlies,1610612763
105,2021-04-06,Indiana Pacers,1610612754,Chicago Bulls,1610612741
106,2021-04-06,Atlanta Hawks,1610612737,New Orleans Pelicans,1610612740
107,2021-04-07,Boston Celtics,1610612738,New York Knicks,1610612752
108,2021-04-07,Denver Nuggets,1610612743,San Antonio Spurs,1610612759
109,2021-04-07,Atlanta Hawks,1610612737,Memphis Grizzlies,1610612763
110,2021-04-07,Phoenix Suns,1610612756,Utah Jazz,1610612762
111,2021-04-07,Oklahoma City Thunder,1610612760,Charlotte Hornets,1610612766
112,2021-04-07,Orlando Magic,1610612753,Washington Wizards,1610612764
113,2021-04-07,Houston Rockets,1610612745,Dallas Mavericks,1610612742
114,2021-04-07,Indiana Pacers,1610612754,Minnesota Timberwolves,1610612750
115,2021-04-07,Brooklyn Nets,1610612751,New Orleans Pelicans,1610612740
116,2021-04-08,Los Angeles Clippers,1610612746,Phoenix Suns,1610612756
117,2021-04-08,Oklahoma City Thunder,1610612760,Cleveland Cavaliers,1610612739
118,2021-04-08,Dallas Mavericks,1610612742,Milwaukee Bucks,1610612749
119,2021-04-08,Miami Heat,1610612748,Los Angeles Lakers,1610612747
120,2021-04-08,Utah Jazz,1610612762,Portland Trail Blazers,1610612757
121,2021-04-08,Sacramento Kings,1610612758,Detroit Pistons,1610612765
