,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,PTS_away,HOME_TEAM_WINS
73,2014-11-07,1610612760,1610612763,2014,1610612760,89.0,91.0,0
74,2014-11-07,1610612761,1610612764,2014,1610612761,103.0,84.0,1
75,2014-11-07,1610612765,1610612749,2014,1610612765,98.0,95.0,1
76,2014-11-07,1610612751,1610612752,2014,1610612751,110.0,99.0,1
77,2014-11-07,1610612738,1610612754,2014,1610612738,101.0,98.0,1
78,2014-11-07,1610612755,1610612741,2014,1610612755,115.0,118.0,0
79,2014-11-07,1610612753,1610612750,2014,1610612753,112.0,103.0,1
80,2014-11-07,1610612766,1610612737,2014,1610612766,122.0,119.0,1
81,2014-11-08,1610612759,1610612740,2014,1610612759,99.0,100.0,0
82,2014-11-08,1610612749,1610612763,2014,1610612749,93.0,92.0,1
83,2014-11-08,1610612745,1610612744,2014,1610612745,87.0,98.0,0
84,2014-11-08,1610612741,1610612738,2014,1610612741,101.0,106.0,0
85,2014-11-08,1610612748,1610612750,2014,1610612748,102.0,92.0,1
86,2014-11-08,1610612737,1610612752,2014,1610612737,103.0,96.0,1
87,2014-11-08,1610612754,1610612764,2014,1610612754,90.0,97.0,0
88,2014-11-08,1610612746,1610612757,2014,1610612746,106.0,102.0,1
89,2014-11-09,1610612747,1610612766,2014,1610612747,107.0,92.0,1
90,2014-11-09,1610612757,1610612743,2014,1610612757,116.0,100.0,1
91,2014-11-09,1610612756,1610612744,2014,1610612756,107.0,95.0,1
92,2014-11-09,1610612742,1610612748,2014,1610612742,96.0,105.0,0
93,2014-11-09,1610612761,1610612755,2014,1610612761,120.0,88.0,1
94,2014-11-09,1610612760,1610612758,2014,1610612760,101.0,93.0,1
95,2014-11-09,1610612765,1610612762,2014,1610612765,96.0,97.0,0
96,2014-11-09,1610612751,1610612753,2014,1610612751,104.0,96.0,1
97,2014-11-10,1610612746,1610612759,2014,1610612746,85.0,89.0,0
98,2014-11-10,1610612741,1610612765,2014,1610612741,102.0,91.0,1
99,2014-11-10,1610612752,1610612737,2014,1610612752,85.0,91.0,0
100,2014-11-10,1610612754,1610612762,2014,1610612754,97.0,86.0,1
101,2014-11-10,1610612739,1610612740,2014,1610612739,118.0,111.0,1
102,2014-11-11,1610612744,1610612759,2014,1610612744,100.0,113.0,0
103,2014-11-11,1610612757,1610612766,2014,1610612757,102.0,100.0,1
104,2014-11-11,1610612742,1610612758,2014,1610612742,106.0,98.0,1
105,2014-11-11,1610612749,1610612760,2014,1610612749,85.0,78.0,1
106,2014-11-11,1610612763,1610612747,2014,1610612763,107.0,102.0,1
107,2014-11-11,1610612761,1610612753,2014,1610612761,104.0,100.0,1
108,2014-11-12,1610612750,1610612745,2014,1610612750,101.0,113.0,0
109,2014-11-12,1610612756,1610612751,2014,1610612756,112.0,104.0,1
110,2014-11-12,1610612743,1610612757,2014,1610612743,113.0,130.0,0
111,2014-11-12,1610612740,1610612747,2014,1610612740,109.0,102.0,1
112,2014-11-12,1610612752,1610612753,2014,1610612752,95.0,97.0,0
113,2014-11-12,1610612748,1610612754,2014,1610612748,75.0,81.0,0
114,2014-11-12,1610612738,1610612760,2014,1610612738,94.0,109.0,0
115,2014-11-12,1610612737,1610612762,2014,1610612737,100.0,97.0,1
116,2014-11-12,1610612764,1610612765,2014,1610612764,107.0,103.0,1
117,2014-11-13,1610612744,1610612751,2014,1610612744,107.0,99.0,1
118,2014-11-13,1610612742,1610612755,2014,1610612742,123.0,70.0,1
119,2014-11-13,1610612761,1610612741,2014,1610612761,93.0,100.0,0
120,2014-11-13,1610612763,1610612758,2014,1610612763,111.0,110.0,1
121,2014-11-14,1610612747,1610612759,2014,1610612747,80.0,93.0,0
122,2014-11-14,1610612756,1610612766,2014,1610612756,95.0,103.0,0
123,2014-11-14,1610612760,1610612765,2014,1610612760,89.0,96.0,0
124,2014-11-14,1610612740,1610612750,2014,1610612740,139.0,91.0,1
125,2014-11-14,1610612745,1610612755,2014,1610612745,88.0,87.0,1
126,2014-11-14,1610612752,1610612762,2014,1610612752,100.0,102.0,0
127,2014-11-14,1610612738,1610612739,2014,1610612738,121.0,122.0,0
128,2014-11-14,1610612737,1610612748,2014,1610612737,114.0,103.0,1
129,2014-11-14,1610612753,1610612749,2014,1610612753,101.0,85.0,1
130,2014-11-14,1610612754,1610612743,2014,1610612754,87.0,108.0,0
131,2014-11-15,1610612746,1610612756,2014,1610612746,120.0,107.0,1
132,2014-11-15,1610612744,1610612766,2014,1610612744,112.0,87.0,1
133,2014-11-15,1610612758,1610612759,2014,1610612758,94.0,91.0,1
134,2014-11-15,1610612757,1610612751,2014,1610612757,97.0,87.0,1
135,2014-11-15,1610612742,1610612750,2014,1610612742,131.0,117.0,1
136,2014-11-15,1610612763,1610612765,2014,1610612763,95.0,88.0,1
137,2014-11-15,1610612741,1610612754,2014,1610612741,90.0,99.0,0
138,2014-11-15,1610612761,1610612762,2014,1610612761,111.0,93.0,1
139,2014-11-15,1610612739,1610612737,2014,1610612739,127.0,94.0,1
140,2014-11-15,1610612764,1610612753,2014,1610612764,98.0,93.0,1
141,2014-11-16,1610612747,1610612744,2014,1610612747,115.0,136.0,0
142,2014-11-16,1610612760,1610612745,2014,1610612760,65.0,69.0,0
143,2014-11-16,1610612748,1610612749,2014,1610612748,84.0,91.0,0
144,2014-11-16,1610612752,1610612743,2014,1610612752,109.0,93.0,1
145,2014-11-17,1610612746,1610612741,2014,1610612746,89.0,105.0,0
146,2014-11-17,1610612757,1610612740,2014,1610612757,102.0,93.0,1
147,2014-11-17,1610612759,1610612755,2014,1610612759,100.0,75.0,1
148,2014-11-17,1610612763,1610612745,2014,1610612763,119.0,93.0,1
149,2014-11-17,1610612765,1610612753,2014,1610612765,93.0,107.0,0
150,2014-11-17,1610612751,1610612748,2014,1610612751,83.0,95.0,0
151,2014-11-17,1610612738,1610612756,2014,1610612738,114.0,118.0,0
152,2014-11-17,1610612739,1610612743,2014,1610612739,97.0,106.0,0
153,2014-11-17,1610612766,1610612742,2014,1610612766,80.0,107.0,0
154,2014-11-18,1610612758,1610612740,2014,1610612758,100.0,106.0,0
155,2014-11-18,1610612762,1610612760,2014,1610612762,98.0,81.0,1
156,2014-11-18,1610612749,1610612752,2014,1610612749,117.0,113.0,1
157,2014-11-18,1610612737,1610612747,2014,1610612737,109.0,114.0,0
158,2014-11-19,1610612745,1610612747,2014,1610612745,92.0,98.0,0
159,2014-11-19,1610612743,1610612760,2014,1610612743,107.0,100.0,1
160,2014-11-19,1610612750,1610612752,2014,1610612750,115.0,99.0,1
161,2014-11-19,1610612761,1610612763,2014,1610612761,96.0,92.0,1
162,2014-11-19,1610612765,1610612756,2014,1610612765,86.0,88.0,0
163,2014-11-19,1610612751,1610612749,2014,1610612751,118.0,122.0,0
164,2014-11-19,1610612764,1610612742,2014,1610612764,102.0,105.0,0
165,2014-11-19,1610612755,1610612738,2014,1610612755,90.0,101.0,0
166,2014-11-19,1610612753,1610612746,2014,1610612753,90.0,114.0,0
167,2014-11-19,1610612754,1610612766,2014,1610612754,88.0,86.0,1
168,2014-11-19,1610612739,1610612759,2014,1610612739,90.0,92.0,0
169,2014-11-20,1610612758,1610612741,2014,1610612758,103.0,88.0,1
170,2014-11-20,1610612748,1610612746,2014,1610612748,93.0,110.0,0
171,2014-11-21,1610612757,1610612741,2014,1610612757,105.0,87.0,1
172,2014-11-21,1610612744,1610612762,2014,1610612744,101.0,88.0,1
173,2014-11-21,1610612743,1610612740,2014,1610612743,117.0,97.0,1
174,2014-11-21,1610612742,1610612747,2014,1610612742,140.0,106.0,1
175,2014-11-21,1610612764,1610612739,2014,1610612764,91.0,78.0,1
176,2014-11-21,1610612760,1610612751,2014,1610612760,92.0,94.0,0
177,2014-11-21,1610612750,1610612759,2014,1610612750,92.0,121.0,0
178,2014-11-21,1610612763,1610612738,2014,1610612763,117.0,100.0,1
179,2014-11-21,1610612761,1610612749,2014,1610612761,124.0,82.0,1
180,2014-11-21,1610612737,1610612765,2014,1610612737,99.0,89.0,1
181,2014-11-21,1610612755,1610612756,2014,1610612755,96.0,122.0,0
182,2014-11-21,1610612766,1610612753,2014,1610612766,100.0,105.0,0
183,2014-11-22,1610612762,1610612740,2014,1610612762,94.0,106.0,0
184,2014-11-22,1610612759,1610612751,2014,1610612759,99.0,87.0,1
185,2014-11-22,1610612749,1610612764,2014,1610612749,100.0,111.0,0
186,2014-11-22,1610612750,1610612758,2014,1610612750,101.0,113.0,0
187,2014-11-22,1610612745,1610612742,2014,1610612745,95.0,92.0,1
188,2014-11-22,1610612752,1610612755,2014,1610612752,91.0,83.0,1
189,2014-11-22,1610612739,1610612761,2014,1610612739,93.0,110.0,0
190,2014-11-22,1610612753,1610612748,2014,1610612753,92.0,99.0,0
191,2014-11-22,1610612754,1610612756,2014,1610612754,83.0,106.0,0
192,2014-11-23,1610612747,1610612743,2014,1610612747,94.0,101.0,0
193,2014-11-23,1610612760,1610612744,2014,1610612760,86.0,91.0,0
194,2014-11-23,1610612748,1610612766,2014,1610612748,94.0,93.0,1
195,2014-11-23,1610612738,1610612757,2014,1610612738,88.0,94.0,0
196,2014-11-23,1610612763,1610612746,2014,1610612763,107.0,91.0,1
197,2014-11-24,1610612762,1610612741,2014,1610612762,95.0,97.0,0
198,2014-11-24,1610612742,1610612754,2014,1610612742,100.0,111.0,0
199,2014-11-24,1610612745,1610612752,2014,1610612745,91.0,86.0,1
200,2014-11-24,1610612761,1610612756,2014,1610612761,104.0,100.0,1
201,2014-11-24,1610612755,1610612757,2014,1610612755,104.0,114.0,0
202,2014-11-24,1610612739,1610612753,2014,1610612739,106.0,74.0,1
203,2014-11-24,1610612766,1610612746,2014,1610612766,92.0,113.0,0
204,2014-11-25,1610612743,1610612741,2014,1610612743,114.0,109.0,1
205,2014-11-25,1610612740,1610612758,2014,1610612740,89.0,99.0,0
206,2014-11-25,1610612749,1610612765,2014,1610612749,98.0,86.0,1
207,2014-11-25,1610612748,1610612744,2014,1610612748,97.0,114.0,0
208,2014-11-25,1610612764,1610612737,2014,1610612764,102.0,106.0,0
209,2014-11-26,1610612747,1610612763,2014,1610612747,93.0,99.0,0
210,2014-11-26,1610612756,1610612743,2014,1610612756,120.0,112.0,1
211,2014-11-26,1610612759,1610612754,2014,1610612759,106.0,100.0,1
212,2014-11-26,1610612760,1610612762,2014,1610612760,97.0,82.0,1
213,2014-11-26,1610612750,1610612749,2014,1610612750,86.0,103.0,0
214,2014-11-26,1610612745,1610612758,2014,1610612745,102.0,89.0,1
215,2014-11-26,1610612765,1610612746,2014,1610612765,98.0,104.0,0
216,2014-11-26,1610612737,1610612761,2014,1610612737,115.0,126.0,0
217,2014-11-26,1610612742,1610612752,2014,1610612742,109.0,102.0,1
218,2014-11-26,1610612755,1610612751,2014,1610612755,91.0,99.0,0
219,2014-11-26,1610612753,1610612744,2014,1610612753,96.0,111.0,0
220,2014-11-26,1610612739,1610612764,2014,1610612739,113.0,87.0,1
221,2014-11-26,1610612766,1610612757,2014,1610612766,97.0,105.0,0
222,2014-11-28,1610612747,1610612750,2014,1610612747,119.0,120.0,0
223,2014-11-28,1610612757,1610612763,2014,1610612757,99.0,112.0,0
224,2014-11-28,1610612743,1610612756,2014,1610612743,122.0,97.0,1
225,2014-11-28,1610612759,1610612758,2014,1610612759,112.0,104.0,1
226,2014-11-28,1610612754,1610612753,2014,1610612754,98.0,83.0,1
227,2014-11-28,1610612760,1610612752,2014,1610612760,105.0,78.0,1
228,2014-11-28,1610612745,1610612746,2014,1610612745,85.0,102.0,0
229,2014-11-28,1610612761,1610612742,2014,1610612761,102.0,106.0,0
230,2014-11-28,1610612765,1610612749,2014,1610612765,88.0,104.0,0
231,2014-11-28,1610612737,1610612740,2014,1610612737,100.0,91.0,1
232,2014-11-28,1610612766,1610612744,2014,1610612766,101.0,106.0,0
233,2014-11-28,1610612738,1610612741,2014,1610612738,102.0,109.0,0
234,2014-11-29,1610612749,1610612745,2014,1610612749,103.0,117.0,0
235,2014-11-29,1610612762,1610612746,2014,1610612762,96.0,112.0,0
236,2014-11-29,1610612739,1610612754,2014,1610612739,109.0,97.0,1
237,2014-11-29,1610612737,1610612766,2014,1610612737,105.0,75.0,1
238,2014-11-29,1610612764,1610612740,2014,1610612764,83.0,80.0,1
239,2014-11-29,1610612755,1610612742,2014,1610612755,103.0,110.0,0
240,2014-11-30,1610612747,1610612761,2014,1610612747,129.0,122.0,1
241,2014-11-30,1610612757,1610612750,2014,1610612757,107.0,93.0,1
242,2014-11-30,1610612756,1610612753,2014,1610612756,90.0,93.0,0
243,2014-11-30,1610612752,1610612748,2014,1610612752,79.0,86.0,0
244,2014-11-30,1610612758,1610612763,2014,1610612758,85.0,97.0,0
245,2014-11-30,1610612765,1610612744,2014,1610612765,93.0,104.0,0
246,2014-11-30,1610612751,1610612741,2014,1610612751,84.0,102.0,0
247,2014-11-30,1610612738,1610612759,2014,1610612738,89.0,111.0,0
248,2014-12-01,1610612746,1610612750,2014,1610612746,127.0,101.0,1
249,2014-12-01,1610612762,1610612743,2014,1610612762,101.0,103.0,0
250,2014-12-01,1610612764,1610612748,2014,1610612764,107.0,86.0,1
251,2014-12-01,1610612755,1610612759,2014,1610612755,103.0,109.0,0
252,2014-12-02,1610612744,1610612753,2014,1610612744,98.0,97.0,1
253,2014-12-02,1610612758,1610612761,2014,1610612758,109.0,117.0,0
254,2014-12-02,1610612756,1610612754,2014,1610612756,116.0,99.0,1
255,2014-12-02,1610612743,1610612757,2014,1610612743,103.0,105.0,0
256,2014-12-02,1610612740,1610612760,2014,1610612740,112.0,104.0,1
257,2014-12-02,1610612741,1610612742,2014,1610612741,129.0,132.0,0
258,2014-12-02,1610612752,1610612751,2014,1610612752,93.0,98.0,0
259,2014-12-02,1610612765,1610612747,2014,1610612765,96.0,106.0,0
260,2014-12-02,1610612737,1610612738,2014,1610612737,109.0,105.0,1
261,2014-12-02,1610612739,1610612749,2014,1610612739,111.0,108.0,1
262,2014-12-03,1610612746,1610612753,2014,1610612746,114.0,86.0,1
263,2014-12-03,1610612762,1610612761,2014,1610612762,104.0,123.0,0
264,2014-12-03,1610612750,1610612755,2014,1610612750,77.0,85.0,0
265,2014-12-03,1610612749,1610612742,2014,1610612749,105.0,107.0,0
266,2014-12-03,1610612745,1610612763,2014,1610612745,105.0,96.0,1
267,2014-12-03,1610612748,1610612737,2014,1610612748,102.0,112.0,0
268,2014-12-03,1610612751,1610612759,2014,1610612751,95.0,93.0,1
269,2014-12-03,1610612738,1610612765,2014,1610612738,109.0,102.0,1
270,2014-12-03,1610612764,1610612747,2014,1610612764,111.0,95.0,1
271,2014-12-03,1610612766,1610612741,2014,1610612766,95.0,102.0,0
272,2014-12-04,1610612744,1610612740,2014,1610612744,112.0,85.0,1
273,2014-12-04,1610612757,1610612754,2014,1610612757,88.0,82.0,1
274,2014-12-04,1610612752,1610612739,2014,1610612752,87.0,90.0,0
275,2014-12-05,1610612758,1610612754,2014,1610612758,102.0,101.0,1
276,2014-12-05,1610612762,1610612753,2014,1610612762,93.0,98.0,0
277,2014-12-05,1610612749,1610612748,2014,1610612749,109.0,85.0,1
278,2014-12-05,1610612742,1610612756,2014,1610612742,106.0,118.0,0
279,2014-12-05,1610612750,1610612745,2014,1610612750,112.0,114.0,0
280,2014-12-05,1610612763,1610612759,2014,1610612763,101.0,107.0,0
281,2014-12-05,1610612761,1610612739,2014,1610612761,91.0,105.0,0
282,2014-12-05,1610612751,1610612737,2014,1610612751,75.0,98.0,0
283,2014-12-05,1610612738,1610612747,2014,1610612738,113.0,96.0,1
284,2014-12-05,1610612764,1610612743,2014,1610612764,119.0,89.0,1
285,2014-12-05,1610612755,1610612760,2014,1610612755,91.0,103.0,0
286,2014-12-05,1610612766,1610612752,2014,1610612766,103.0,102.0,1
287,2014-12-06,1610612746,1610612740,2014,1610612746,120.0,100.0,1
288,2014-12-06,1610612758,1610612753,2014,1610612758,96.0,105.0,0
289,2014-12-06,1610612759,1610612750,2014,1610612759,123.0,101.0,1
290,2014-12-06,1610612745,1610612756,2014,1610612745,100.0,95.0,1
291,2014-12-06,1610612741,1610612744,2014,1610612741,102.0,112.0,0
292,2014-12-06,1610612765,1610612755,2014,1610612765,101.0,108.0,0
