,DATE,1610612749,1610612761,1610612755,1610612738,1610612754,1610612751,1610612753,1610612765,1610612766,1610612748,1610612764,1610612737,1610612741,1610612739,1610612752,1610612744,1610612743,1610612745,1610612757,1610612762,1610612760,1610612746,1610612759,1610612758,1610612747,1610612750,1610612742,1610612763,1610612740,1610612756
64,2019-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2019-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2019-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2019-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
