,date,game_id,home,away,home_id,away_id,home_pts,away_pts
63,2019-10-30,0021900064,CHA,SAC,1610612766.0,1610612758.0,118.0,111.0
64,2019-10-30,0021900065,PHX,GSW,1610612756.0,1610612744.0,121.0,110.0
65,2019-10-31,0021900066,MIA,ATL,1610612748.0,1610612737.0,106.0,97.0
66,2019-10-31,0021900067,DEN,NOP,1610612743.0,1610612740.0,107.0,122.0
67,2019-10-31,0021900068,SAS,LAC,1610612759.0,1610612746.0,97.0,103.0
68,2019-11-01,0021900069,HOU,BKN,1610612745.0,1610612751.0,116.0,123.0
69,2019-11-01,0021900070,CLE,IND,1610612739.0,1610612754.0,95.0,102.0
70,2019-11-01,0021900071,MIL,ORL,1610612749.0,1610612753.0,123.0,91.0
71,2019-11-01,0021900072,NYK,BOS,1610612752.0,1610612738.0,102.0,104.0
72,2019-11-01,0021900073,DET,CHI,1610612765.0,1610612741.0,106.0,112.0
73,2019-11-01,0021900074,LAL,DAL,1610612747.0,1610612742.0,119.0,110.0
74,2019-11-01,0021900075,UTA,SAC,1610612762.0,1610612758.0,101.0,102.0
75,2019-11-01,0021900076,SAS,GSW,1610612759.0,1610612744.0,127.0,110.0
76,2019-11-02,0021900077,NOP,OKC,1610612740.0,1610612760.0,104.0,115.0
77,2019-11-02,0021900078,BKN,DET,1610612751.0,1610612765.0,109.0,113.0
78,2019-11-02,0021900079,DEN,ORL,1610612743.0,1610612753.0,91.0,87.0
79,2019-11-02,0021900080,MIN,WAS,1610612750.0,1610612764.0,131.0,109.0
80,2019-11-02,0021900081,PHX,MEM,1610612756.0,1610612763.0,114.0,105.0
81,2019-11-02,0021900082,TOR,MIL,1610612761.0,1610612749.0,105.0,115.0
82,2019-11-02,0021900083,CHA,GSW,1610612766.0,1610612744.0,93.0,87.0
83,2019-11-02,0021900084,PHI,POR,1610612755.0,1610612757.0,129.0,128.0
84,2019-11-03,0021900085,CHI,IND,1610612741.0,1610612754.0,95.0,108.0
85,2019-11-03,0021900086,HOU,MIA,1610612745.0,1610612748.0,100.0,129.0
86,2019-11-03,0021900087,SAC,NYK,1610612758.0,1610612752.0,113.0,92.0
87,2019-11-03,0021900088,LAL,SAS,1610612747.0,1610612759.0,103.0,96.0
88,2019-11-03,0021900089,DAL,CLE,1610612742.0,1610612739.0,131.0,111.0
89,2019-11-03,0021900090,UTA,LAC,1610612762.0,1610612746.0,94.0,105.0
90,2019-11-04,0021900091,DET,WAS,1610612765.0,1610612764.0,99.0,115.0
91,2019-11-04,0021900092,NOP,BKN,1610612740.0,1610612751.0,125.0,135.0
92,2019-11-04,0021900093,HOU,MEM,1610612745.0,1610612763.0,107.0,100.0
93,2019-11-04,0021900094,MIL,MIN,1610612749.0,1610612750.0,134.0,106.0
94,2019-11-04,0021900095,PHI,PHX,1610612755.0,1610612756.0,109.0,114.0
95,2019-11-04,0021900096,POR,GSW,1610612757.0,1610612744.0,118.0,127.0
96,2019-11-05,0021900097,IND,CHA,1610612754.0,1610612766.0,120.0,122.0
97,2019-11-05,0021900098,BOS,CLE,1610612738.0,1610612739.0,119.0,113.0
98,2019-11-05,0021900099,SAS,ATL,1610612759.0,1610612737.0,100.0,108.0
99,2019-11-05,0021900100,LAL,CHI,1610612747.0,1610612741.0,118.0,112.0
100,2019-11-05,0021900101,ORL,OKC,1610612753.0,1610612760.0,94.0,102.0
101,2019-11-05,0021900102,MIA,DEN,1610612748.0,1610612743.0,89.0,109.0
102,2019-11-06,0021900103,NYK,DET,1610612752.0,1610612765.0,102.0,122.0
103,2019-11-06,0021900104,WAS,IND,1610612764.0,1610612754.0,106.0,121.0
104,2019-11-06,0021900105,CHI,ATL,1610612741.0,1610612737.0,113.0,93.0
105,2019-11-06,0021900106,SAC,TOR,1610612758.0,1610612761.0,120.0,124.0
106,2019-11-06,0021900107,GSW,HOU,1610612744.0,1610612745.0,112.0,129.0
107,2019-11-06,0021900108,MIN,MEM,1610612750.0,1610612763.0,121.0,137.0
108,2019-11-06,0021900109,ORL,DAL,1610612753.0,1610612742.0,106.0,107.0
109,2019-11-06,0021900110,PHI,UTA,1610612755.0,1610612762.0,104.0,106.0
110,2019-11-06,0021900111,MIL,LAC,1610612749.0,1610612746.0,129.0,124.0
111,2019-11-07,0021900112,BOS,CHA,1610612738.0,1610612766.0,108.0,87.0
112,2019-11-07,0021900113,OKC,SAS,1610612760.0,1610612759.0,112.0,121.0
113,2019-11-07,0021900114,MIA,PHX,1610612748.0,1610612756.0,124.0,108.0
114,2019-11-07,0021900115,POR,LAC,1610612757.0,1610612746.0,101.0,107.0
115,2019-11-08,0021900116,DET,IND,1610612765.0,1610612754.0,106.0,112.0
116,2019-11-08,0021900117,MEM,ORL,1610612763.0,1610612753.0,86.0,118.0
117,2019-11-08,0021900118,CLE,WAS,1610612739.0,1610612764.0,113.0,100.0
118,2019-11-08,0021900119,SAC,ATL,1610612758.0,1610612737.0,121.0,109.0
119,2019-11-08,0021900120,GSW,MIN,1610612744.0,1610612750.0,119.0,125.0
120,2019-11-08,0021900121,TOR,NOP,1610612761.0,1610612740.0,122.0,104.0
121,2019-11-08,0021900122,NYK,DAL,1610612752.0,1610612742.0,106.0,102.0
122,2019-11-08,0021900123,PHI,DEN,1610612755.0,1610612743.0,97.0,100.0
123,2019-11-08,0021900124,MIL,UTA,1610612749.0,1610612762.0,100.0,103.0
124,2019-11-08,0021900125,BKN,POR,1610612751.0,1610612757.0,119.0,115.0
125,2019-11-08,0021900126,MIA,LAL,1610612748.0,1610612747.0,80.0,95.0
126,2019-11-09,0021900127,BOS,SAS,1610612738.0,1610612759.0,135.0,115.0
127,2019-11-09,0021900128,NOP,CHA,1610612740.0,1610612766.0,115.0,110.0
128,2019-11-09,0021900129,HOU,CHI,1610612745.0,1610612741.0,117.0,94.0
129,2019-11-09,0021900130,DAL,MEM,1610612742.0,1610612763.0,138.0,122.0
130,2019-11-09,0021900131,GSW,OKC,1610612744.0,1610612760.0,108.0,114.0
131,2019-11-10,0021900132,DEN,MIN,1610612743.0,1610612750.0,100.0,98.0
132,2019-11-10,0021900133,IND,ORL,1610612754.0,1610612753.0,109.0,102.0
133,2019-11-10,0021900134,CHA,PHI,1610612766.0,1610612755.0,106.0,114.0
134,2019-11-10,0021900135,MIL,OKC,1610612749.0,1610612760.0,121.0,119.0
135,2019-11-10,0021900136,CLE,NYK,1610612739.0,1610612752.0,108.0,87.0
136,2019-11-10,0021900137,BKN,PHX,1610612751.0,1610612756.0,112.0,138.0
137,2019-11-10,0021900138,ATL,POR,1610612737.0,1610612757.0,113.0,124.0
138,2019-11-10,0021900139,TOR,LAL,1610612761.0,1610612747.0,113.0,104.0
139,2019-11-11,0021900140,MIN,DET,1610612750.0,1610612765.0,120.0,114.0
140,2019-11-11,0021900141,DAL,BOS,1610612742.0,1610612738.0,106.0,116.0
141,2019-11-11,0021900143,MEM,SAS,1610612763.0,1610612759.0,113.0,109.0
142,2019-11-11,0021900142,HOU,NOP,1610612745.0,1610612740.0,122.0,116.0
143,2019-11-11,0021900144,UTA,GSW,1610612762.0,1610612744.0,122.0,108.0
144,2019-11-11,0021900145,TOR,LAC,1610612761.0,1610612746.0,88.0,98.0
145,2019-11-12,0021900146,OKC,IND,1610612760.0,1610612754.0,85.0,111.0
146,2019-11-12,0021900147,CLE,PHI,1610612739.0,1610612755.0,97.0,98.0
147,2019-11-12,0021900148,DET,MIA,1610612765.0,1610612748.0,108.0,117.0
148,2019-11-12,0021900149,NYK,CHI,1610612752.0,1610612741.0,102.0,120.0
149,2019-11-12,0021900150,ATL,DEN,1610612737.0,1610612743.0,125.0,121.0
150,2019-11-12,0021900151,LAL,PHX,1610612747.0,1610612756.0,123.0,115.0
151,2019-11-12,0021900152,BKN,UTA,1610612751.0,1610612762.0,114.0,119.0
152,2019-11-12,0021900153,POR,SAC,1610612757.0,1610612758.0,99.0,107.0
153,2019-11-13,0021900154,MEM,CHA,1610612763.0,1610612766.0,119.0,117.0
154,2019-11-13,0021900155,PHI,ORL,1610612755.0,1610612753.0,97.0,112.0
155,2019-11-13,0021900156,WAS,BOS,1610612764.0,1610612738.0,133.0,140.0
156,2019-11-13,0021900157,LAC,HOU,1610612746.0,1610612745.0,93.0,102.0
157,2019-11-13,0021900158,SAS,MIN,1610612759.0,1610612750.0,114.0,129.0
158,2019-11-13,0021900159,GSW,LAL,1610612744.0,1610612747.0,94.0,120.0
159,2019-11-13,0021900160,TOR,POR,1610612761.0,1610612757.0,114.0,106.0
160,2019-11-14,0021900161,MIA,CLE,1610612748.0,1610612739.0,108.0,97.0
161,2019-11-14,0021900162,DAL,NYK,1610612742.0,1610612752.0,103.0,106.0
162,2019-11-14,0021900163,CHI,MIL,1610612741.0,1610612749.0,115.0,124.0
163,2019-11-14,0021900164,LAC,NOP,1610612746.0,1610612740.0,127.0,132.0
164,2019-11-14,0021900165,ATL,PHX,1610612737.0,1610612756.0,112.0,128.0
165,2019-11-14,0021900166,BKN,DEN,1610612751.0,1610612743.0,93.0,101.0
166,2019-11-15,0021900167,DET,CHA,1610612765.0,1610612766.0,106.0,109.0
167,2019-11-15,0021900168,SAS,ORL,1610612759.0,1610612753.0,109.0,111.0
168,2019-11-15,0021900169,IND,HOU,1610612754.0,1610612745.0,102.0,111.0
169,2019-11-15,0021900170,UTA,MEM,1610612762.0,1610612763.0,106.0,107.0
170,2019-11-15,0021900171,WAS,MIN,1610612764.0,1610612750.0,137.0,116.0
171,2019-11-15,0021900172,PHI,OKC,1610612755.0,1610612760.0,119.0,127.0
172,2019-11-15,0021900173,BOS,GSW,1610612738.0,1610612744.0,105.0,100.0
173,2019-11-15,0021900174,SAC,LAL,1610612758.0,1610612747.0,97.0,99.0
174,2019-11-16,0021900175,BKN,CHI,1610612751.0,1610612741.0,117.0,111.0
175,2019-11-16,0021900176,MIL,IND,1610612749.0,1610612754.0,102.0,83.0
176,2019-11-16,0021900177,CHA,NYK,1610612766.0,1610612752.0,103.0,102.0
177,2019-11-16,0021900178,NOP,MIA,1610612740.0,1610612748.0,94.0,109.0
178,2019-11-16,0021900179,HOU,MIN,1610612745.0,1610612750.0,125.0,105.0
179,2019-11-16,0021900180,TOR,DAL,1610612761.0,1610612742.0,102.0,110.0
180,2019-11-16,0021900181,POR,SAS,1610612757.0,1610612759.0,121.0,116.0
181,2019-11-16,0021900182,ATL,LAC,1610612737.0,1610612746.0,101.0,150.0
182,2019-11-17,0021900183,PHI,CLE,1610612755.0,1610612739.0,114.0,95.0
183,2019-11-17,0021900184,BOS,SAC,1610612738.0,1610612758.0,99.0,100.0
184,2019-11-17,0021900185,WAS,ORL,1610612764.0,1610612753.0,121.0,125.0
185,2019-11-17,0021900186,DEN,MEM,1610612743.0,1610612763.0,131.0,114.0
186,2019-11-17,0021900187,GSW,NOP,1610612744.0,1610612740.0,100.0,108.0
187,2019-11-17,0021900188,ATL,LAL,1610612737.0,1610612747.0,101.0,122.0
188,2019-11-18,0021900189,CLE,NYK,1610612739.0,1610612752.0,105.0,123.0
189,2019-11-18,0021900190,IND,BKN,1610612754.0,1610612751.0,115.0,86.0
190,2019-11-18,0021900191,CHA,TOR,1610612766.0,1610612761.0,96.0,132.0
191,2019-11-18,0021900192,MIL,CHI,1610612749.0,1610612741.0,115.0,101.0
192,2019-11-18,0021900193,POR,HOU,1610612757.0,1610612745.0,108.0,132.0
193,2019-11-18,0021900194,SAS,DAL,1610612759.0,1610612742.0,110.0,117.0
194,2019-11-18,0021900195,BOS,PHX,1610612738.0,1610612756.0,99.0,85.0
195,2019-11-18,0021900196,MIN,UTA,1610612750.0,1610612762.0,112.0,102.0
196,2019-11-18,0021900197,OKC,LAC,1610612760.0,1610612746.0,88.0,90.0
197,2019-11-19,0021900198,GSW,MEM,1610612744.0,1610612763.0,114.0,95.0
198,2019-11-19,0021900199,POR,NOP,1610612757.0,1610612740.0,104.0,115.0
