date,game_id,home,home_id,away,away_id,home_pts,away_pts,home_win,GAME_ID,TEAM_ID_x,fg_pct_3_h,fg3_pct_3_h,ft_pct_3_h,oreb_3_h,dreb_3_h,ast_3_h,tov_3_h,stl_3_h,blk_3_h,pts_3_h,fg_pct_7_h,fg3_pct_7_h,ft_pct_7_h,oreb_7_h,dreb_7_h,ast_7_h,tov_7_h,stl_7_h,blk_7_h,pts_7_h,TEAM_ID_y,fg_pct_3_a,fg3_pct_3_a,ft_pct_3_a,oreb_3_a,dreb_3_a,ast_3_a,tov_3_a,stl_3_a,blk_3_a,pts_3_a,fg_pct_7_a,fg3_pct_7_a,ft_pct_7_a,oreb_7_a,dreb_7_a,ast_7_a,tov_7_a,stl_7_a,blk_7_a,pts_7_a
2021-01-16,0022000190,ORL,1610612753.0,BKN,1610612751.0,115.0,122.0,0.0,0022000190,1610612751.0,0.5226666666666667,0.39966666666666667,0.7183333333333334,8.333333333333334,35.666666666666664,28.0,16.333333333333332,6.666666666666667,5.0,120.0,0.5097142857142857,0.38257142857142856,0.7738571428571428,8.428571428571429,37.142857142857146,27.0,15.142857142857142,6.857142857142857,5.428571428571429,121.85714285714286,1610612753.0,0.4040000000000001,0.256,0.6876666666666668,11.333333333333334,33.0,17.0,9.666666666666666,7.333333333333333,2.3333333333333335,97.0,0.4348571428571428,0.2967142857142857,0.7882857142857144,11.0,34.714285714285715,19.714285714285715,11.0,7.571428571428571,2.0,107.0
2021-01-17,0022000200,UTA,1610612762.0,DEN,1610612743.0,109.0,105.0,1.0,0022000200,1610612743.0,0.4726666666666666,0.3193333333333333,0.7576666666666667,9.666666666666666,36.666666666666664,25.333333333333332,14.666666666666666,9.333333333333334,2.6666666666666665,118.0,0.47671428571428576,0.34371428571428575,0.7462857142857143,9.714285714285714,34.142857142857146,26.857142857142858,14.285714285714286,8.0,4.0,115.85714285714286,1610612762.0,0.46166666666666667,0.4073333333333333,0.6676666666666667,12.333333333333334,40.333333333333336,20.666666666666668,17.0,7.0,5.333333333333333,111.66666666666667,0.46642857142857147,0.4068571428571429,0.6351428571428571,10.714285714285714,39.0,22.714285714285715,15.857142857142858,6.0,6.714285714285714,113.14285714285714
2021-01-18,0022000207,SAS,1610612759.0,POR,1610612757.0,125.0,104.0,1.0,0022000207,1610612757.0,0.4046666666666667,0.3253333333333333,0.91,13.0,33.666666666666664,17.333333333333332,13.0,7.666666666666667,6.333333333333333,103.66666666666667,0.4337142857142857,0.36771428571428577,0.8112857142857143,10.285714285714286,34.714285714285715,21.428571428571427,12.142857142857142,8.142857142857142,5.142857142857143,111.71428571428571,1610612759.0,0.417,0.3196666666666667,0.7693333333333333,9.333333333333334,37.0,23.0,6.666666666666667,6.666666666666667,4.333333333333333,108.33333333333333,0.444,0.37457142857142856,0.8339999999999999,8.142857142857142,37.285714285714285,24.857142857142858,9.285714285714286,6.571428571428571,5.285714285714286,112.14285714285714
2021-01-18,0022000208,PHX,1610612756.0,MEM,1610612763.0,104.0,108.0,0.0,0022000208,1610612763.0,0.4423333333333333,0.3456666666666666,0.7996666666666666,11.333333333333334,34.333333333333336,27.666666666666668,14.333333333333334,14.0,5.0,103.66666666666667,0.43800000000000006,0.33814285714285713,0.788,9.571428571428571,35.142857142857146,25.285714285714285,12.857142857142858,10.428571428571429,5.142857142857143,104.0,1610612756.0,0.4626666666666666,0.2883333333333334,0.765,7.0,37.0,26.0,10.0,6.333333333333333,5.0,112.33333333333333,0.46714285714285714,0.343,0.796857142857143,7.428571428571429,34.57142857142857,26.714285714285715,11.714285714285714,5.571428571428571,4.714285714285714,109.71428571428571
2021-01-19,0022000213,OKC,1610612760.0,DEN,1610612743.0,101.0,119.0,0.0,0022000213,1610612743.0,0.433,0.33866666666666667,0.7576666666666667,14.0,35.666666666666664,26.333333333333332,12.666666666666666,8.333333333333334,4.0,112.0,0.4685714285714285,0.35400000000000004,0.7449999999999999,11.571428571428571,35.142857142857146,26.857142857142858,13.857142857142858,7.857142857142857,4.714285714285714,115.42857142857143,1610612760.0,0.48033333333333333,0.37399999999999994,0.786,6.0,38.666666666666664,22.666666666666668,12.0,8.0,5.333333333333333,113.66666666666667,0.4524285714285714,0.3315714285714285,0.7769999999999999,8.285714285714286,38.857142857142854,22.428571428571427,14.428571428571429,7.571428571428571,4.857142857142857,108.85714285714286
2021-01-20,0022000217,DAL,1610612742.0,IND,1610612754.0,124.0,112.0,1.0,0022000217,1610612754.0,0.45166666666666666,0.395,0.783,8.333333333333334,32.333333333333336,22.0,11.0,6.0,5.666666666666667,111.0,0.47857142857142865,0.3585714285714286,0.7729999999999999,8.0,33.285714285714285,24.571428571428573,13.0,8.0,5.571428571428571,113.14285714285714,1610612742.0,0.41966666666666663,0.31233333333333335,0.6133333333333333,10.666666666666666,37.0,21.666666666666668,12.0,6.333333333333333,7.333333333333333,102.0,0.45,0.3357142857142857,0.7367142857142858,10.142857142857142,37.42857142857143,23.428571428571427,12.857142857142858,7.285714285714286,5.428571428571429,110.71428571428571
2021-01-20,0022000222,PHX,1610612756.0,HOU,1610612745.0,109.0,103.0,1.0,0022000222,1610612745.0,0.4543333333333333,0.35366666666666663,0.7243333333333334,10.0,34.666666666666664,26.333333333333332,14.666666666666666,9.0,7.0,111.33333333333333,0.45914285714285713,0.3402857142857143,0.7455714285714284,8.714285714285714,34.142857142857146,22.714285714285715,14.857142857142858,8.428571428571429,6.428571428571429,110.0,1610612756.0,0.464,0.31833333333333336,0.7986666666666666,8.0,34.0,28.0,9.0,5.666666666666667,4.0,112.0,0.4724285714285714,0.3668571428571429,0.7674285714285715,7.714285714285714,34.857142857142854,27.428571428571427,12.714285714285714,5.571428571428571,4.571428571428571,109.85714285714286
2021-01-20,0022000223,SAS,1610612759.0,GSW,1610612744.0,99.0,121.0,0.0,0022000223,1610612744.0,0.4263333333333333,0.371,0.7879999999999999,10.333333333333334,34.666666666666664,26.666666666666668,15.666666666666666,7.666666666666667,7.0,105.33333333333333,0.4581428571428572,0.3567142857142857,0.8077142857142858,8.0,37.0,26.857142857142858,14.428571428571429,6.428571428571429,6.428571428571429,112.71428571428571,1610612759.0,0.4493333333333333,0.336,0.785,9.333333333333334,37.0,26.666666666666668,9.0,6.0,5.333333333333333,108.33333333333333,0.448,0.38242857142857145,0.8358571428571427,8.714285714285714,36.714285714285715,25.571428571428573,9.571428571428571,6.285714285714286,5.0,111.28571428571429
2021-01-21,0022000226,LAL,1610612747.0,MIL,1610612749.0,113.0,106.0,1.0,0022000226,1610612749.0,0.44566666666666666,0.3403333333333333,0.6893333333333334,12.0,37.0,21.666666666666668,13.0,7.0,4.0,110.0,0.501,0.41714285714285715,0.6941428571428572,9.714285714285714,39.857142857142854,26.285714285714285,15.285714285714286,7.714285714285714,4.285714285714286,121.28571428571429,1610612747.0,0.5,0.414,0.7423333333333333,11.0,40.333333333333336,26.666666666666668,16.0,9.666666666666666,8.666666666666666,121.66666666666667,0.48071428571428576,0.4052857142857143,0.7635714285714286,11.0,40.42857142857143,25.714285714285715,15.0,8.142857142857142,7.0,113.85714285714286
2021-01-21,0022000228,NYK,1610612752.0,GSW,1610612744.0,119.0,104.0,1.0,0022000228,1610612744.0,0.43199999999999994,0.34,0.7436666666666666,10.666666666666666,39.666666666666664,28.666666666666668,15.333333333333334,5.333333333333333,6.666666666666667,107.33333333333333,0.47428571428571425,0.3845714285714286,0.7821428571428571,9.0,37.42857142857143,28.571428571428573,14.428571428571429,6.714285714285714,5.428571428571429,116.0,1610612752.0,0.45133333333333336,0.33,0.7773333333333333,11.333333333333334,35.666666666666664,20.666666666666668,15.666666666666666,8.666666666666666,7.666666666666667,98.66666666666667,0.45142857142857146,0.34428571428571425,0.76,11.142857142857142,37.42857142857143,22.142857142857142,17.428571428571427,7.714285714285714,5.857142857142857,99.0
