,Unnamed: 0,DATE,1610612739,1610612744,1610612745,1610612737,1610612764,1610612763,1610612741,1610612746,1610612751,1610612749,1610612759,1610612757,1610612738,1610612742,1610612740,1610612761,1610612750,1610612752,1610612755,1610612747,1610612754,1610612756,1610612766,1610612748,1610612760,1610612762,1610612758,1610612765,1610612743,1610612753
0,0,2014-10-28,1442.63,1574.5,1598.5,1479.44,1522.42,1566.78,1551.66,1624.02,1522.42,1276.6,1670.88,1598.5,1377.58,1559.17,1450.15,1551.66,1493.79,1472.21,1320.34,1394.84,1615.32,1551.66,1515.24,1598.5,1642.05,1377.58,1403.19,1411.37,1464.93,1359.48
1,1,2014-10-29,,,1608.488261587041,,,,,,,,1672.457302121878,,,1557.5926978781222,1456.5093523123721,,,,,1384.8517384129589,,,,,,,,,,1353.120647687628
2,2,2014-10-30,,1585.9920601058202,1614.8683449454143,1475.4377527297256,1516.9882421360833,1569.7773842642514,1571.711975000989,,1505.9668137281792,1275.6524006162942,,1610.2573686524165,1394.0331862718208,,,1555.6622472702745,1490.7926157357485,1452.158024999011,1318.689587776543,1380.0694293966487,1616.9704122234568,1556.4423090163102,1516.1875993837057,1603.9317578639168,1630.2926313475834,1371.1999166416267,1391.6979398941799,1405.9659862004507,1470.3340137995492,
3,3,2014-10-31,1433.1114972365378,,,,1523.5371035015391,,,1627.850755640925,,,,,,1561.5901030865427,,,1494.249263580593,1461.6765277624734,,,,,,,1626.4618757066585,1367.2025114332062,,1402.5093383556064,,1346.571786322172
4,4,2014-11-01,1448.3633473874866,,,,,1584.1850347926863,1556.4601248500403,1632.354011966522,,1284.9730031677639,1665.0002293652576,1595.9700268994125,,,,,,,1309.3689852250734,1375.5661730710517,1602.562761695022,1563.8993817729306,,,,,1405.985281647184,,,
5,5,2014-11-02,,1590.144506927335,1617.6571129365757,1486.8719427689532,1525.6975227694168,1589.5993286230594,1561.0795846118303,,1517.4554585728267,1282.8125838998862,,,1391.2444182806594,1568.4965025926517,1449.6029528062631,1563.5049891942535,1489.6298038188029,,1302.8845080338278,1371.413726249537,1591.1285716557943,1535.9825609370225,1510.7733055533326,1610.4162350551624,1629.8665588151875,1395.1193322691142,,1391.0206935109588,1466.9293306910201,1338.729044398193
6,6,2014-11-03,,1600.1047170210181,,,,,,1614.1977623195685,,,,1586.0098168057293,,,,1559.7223743082297,,1466.2669340897291,,,,,1506.1828992260769,1614.1988499411862,,,1424.1415312941374,,,
7,7,2014-11-04,,,1621.8870988572646,,,1593.5190120099194,,1615.8910239835982,1540.8811446223292,,,,1389.3028628985192,1570.438057974792,1445.6832694194031,,,,1298.654522113139,,,,,,1606.440872765685,1393.4260706050845,1435.1794282254582,,1455.8914337596993,
8,8,2014-11-05,1442.9720841542521,,1641.8084429047033,,1541.230099715427,,1563.0315601924679,,,1303.7817130621515,,1591.4010800389638,,,1454.0507759594586,1569.184628852468,,1450.7343571437189,,1365.411790714399,1570.159442493529,1541.9844964721603,1497.8153926860214,1594.2775058937475,1596.9786182214468,,,,,1336.7770688175556
